 C+          , coolant no=           1
 O           , coolant no=           4
    1    2 ->    1 lam[mic]= 6.318367E+01 Eu[K]= 2.277E+02 Aul[1/s]= 8.910E-05 Ncr[cm^-2]= 6.627E+16                ,                ->                ,                
    2    3 ->    1 lam[mic]= 4.405573E+01 Eu[K]= 3.266E+02 Aul[1/s]= 1.340E-10 Ncr[cm^-2]= 3.900E+23                ,                ->                ,                
    3    3 ->    2 lam[mic]= 1.455254E+02 Eu[K]= 3.266E+02 Aul[1/s]= 1.750E-05 Ncr[cm^-2]= 4.971E+16                ,                ->                ,                
    4    4 ->    1 lam[mic]= 6.300304E-01 Eu[K]= 2.283E+04 Aul[1/s]= 6.535E-03 Ncr[cm^-2]= 5.468E+20                ,                ->                ,                
    5    4 ->    2 lam[mic]= 6.391733E-01 Eu[K]= 2.283E+04 Aul[1/s]= 2.111E-03 Ncr[cm^-2]= 9.727E+20                ,                ->                ,                
    6    4 ->    3 lam[mic]= 6.453602E-01 Eu[K]= 2.283E+04 Aul[1/s]= 6.388E-07 Ncr[cm^-2]= 1.041E+24                ,                ->                ,                
    7    5 ->    1 lam[mic]= 2.958365E-01 Eu[K]= 4.862E+04 Aul[1/s]= 2.945E-04 Ncr[cm^-2]= 5.860E+23                ,                ->                ,                
    8    5 ->    2 lam[mic]= 2.972286E-01 Eu[K]= 4.862E+04 Aul[1/s]= 7.909E-02 Ncr[cm^-2]= 1.291E+21                ,                ->                ,                
    9    5 ->    4 lam[mic]= 5.577339E-01 Eu[K]= 4.862E+04 Aul[1/s]= 1.124E+00 Ncr[cm^-2]= 2.291E+19                ,                ->                ,                
   10    6 ->    2 lam[mic]= 1.358512E-01 Eu[K]= 1.061E+05 Aul[1/s]= 1.360E+03 Ncr[cm^-2]= 1.572E+17                ,                ->                ,                
   11    6 ->    1 lam[mic]= 1.355598E-01 Eu[K]= 1.061E+05 Aul[1/s]= 4.200E+03 Ncr[cm^-2]= 8.541E+16                ,                ->                ,                
   12    6 ->    4 lam[mic]= 1.727106E-01 Eu[K]= 1.061E+05 Aul[1/s]= 5.320E-03 Ncr[cm^-2]= 3.261E+22                ,                ->                ,                
   13    7 ->    4 lam[mic]= 1.641305E-01 Eu[K]= 1.105E+05 Aul[1/s]= 1.830E+03 Ncr[cm^-2]= 1.841E+17                ,                ->                ,                
   14    7 ->    1 lam[mic]= 1.302168E-01 Eu[K]= 1.105E+05 Aul[1/s]= 3.410E+08 Ncr[cm^-2]= 1.978E+12                ,                ->                ,                
   15    7 ->    5 lam[mic]= 2.324738E-01 Eu[K]= 1.105E+05 Aul[1/s]= 4.610E+00 Ncr[cm^-2]= 5.143E+18                ,                ->                ,                
   16    7 ->    2 lam[mic]= 1.304858E-01 Eu[K]= 1.105E+05 Aul[1/s]= 2.030E+08 Ncr[cm^-2]= 1.981E+12                ,                ->                ,                
   17    7 ->    3 lam[mic]= 1.306029E-01 Eu[K]= 1.105E+05 Aul[1/s]= 6.760E+07 Ncr[cm^-2]= 1.978E+12                ,                ->                ,                
   18    8 ->    7 lam[mic]= 1.017213E+00 Eu[K]= 1.246E+05 Aul[1/s]= 1.970E+02 Ncr[cm^-2]= 4.310E+15                ,                ->                ,                
   19    8 ->    6 lam[mic]= 7.777527E-01 Eu[K]= 1.246E+05 Aul[1/s]= 3.690E+07 Ncr[cm^-2]= 8.580E+10                ,                ->                ,                
   20    9 ->    6 lam[mic]= 7.776305E-01 Eu[K]= 1.246E+05 Aul[1/s]= 3.690E+07 Ncr[cm^-2]= 5.150E+10                ,                ->                ,                
   21    9 ->    7 lam[mic]= 1.017004E+00 Eu[K]= 1.246E+05 Aul[1/s]= 3.610E+02 Ncr[cm^-2]= 1.412E+15                ,                ->                ,                
   22   10 ->    6 lam[mic]= 7.774083E-01 Eu[K]= 1.246E+05 Aul[1/s]= 3.690E+07 Ncr[cm^-2]= 3.682E+10                ,                ->                ,                
   23   11 ->    7 lam[mic]= 8.449079E-01 Eu[K]= 1.275E+05 Aul[1/s]= 3.220E+07 Ncr[cm^-2]= 4.601E+10                ,                ->                ,                
   24   11 ->    6 lam[mic]= 6.728394E-01 Eu[K]= 1.275E+05 Aul[1/s]= 6.440E+02 Ncr[cm^-2]= 7.593E+15                ,                ->                ,                
   25   12 ->    7 lam[mic]= 8.448680E-01 Eu[K]= 1.275E+05 Aul[1/s]= 3.220E+07 Ncr[cm^-2]= 2.761E+10                ,                ->                ,                
   26   12 ->    6 lam[mic]= 6.728141E-01 Eu[K]= 1.275E+05 Aul[1/s]= 1.180E+03 Ncr[cm^-2]= 2.487E+15                ,                ->                ,                
   27   13 ->    7 lam[mic]= 8.448568E-01 Eu[K]= 1.275E+05 Aul[1/s]= 3.220E+07 Ncr[cm^-2]= 1.381E+11                ,                ->                ,                
   28   14 ->    9 lam[mic]= 1.130078E+00 Eu[K]= 1.374E+05 Aul[1/s]= 8.900E+06 Ncr[cm^-2]= 6.958E+10                ,                ->                ,                
   29   14 ->    8 lam[mic]= 1.129820E+00 Eu[K]= 1.374E+05 Aul[1/s]= 5.340E+06 Ncr[cm^-2]= 6.962E+10                ,                ->                ,                
   30   14 ->   10 lam[mic]= 1.130547E+00 Eu[K]= 1.374E+05 Aul[1/s]= 1.250E+07 Ncr[cm^-2]= 6.927E+10                ,                ->                ,                
   31   15 ->    2 lam[mic]= 1.040943E-01 Eu[K]= 1.384E+05 Aul[1/s]= 5.640E+07 Ncr[cm^-2]= 1.405E+13                ,                ->                ,                
